"website","update"
"support.rbind.io/index.xml","2018-02-26"
"notstatschat.tumblr.com/rss","2018-04-01"
"http://feeds.feedburner.com/ancham/","2018-04-06"
"feeds.feedburner.com/ProfessorRobJHyndman","2018-04-24"
"feeds.feedburner.com/StatsChat","2018-04-24"
"simplystatistics.org/index.xml","2018-04-24"
"yihui.name/index.xml","2018-04-25"
"ropensci.org/blog/index.xml","2018-04-26"
"http://leiminnet.cn/blog/index.php/feed/","2018-04-27"
"blogs.worldbank.org/impactevaluations/rss.xml","2018-04-27"
"chrisblattman.com/feed/","2018-04-28"
"andrewgelman.com/feed/","2018-04-28"
